pl_name,pl_rade,pl_eqt,pl_orbper,st_spectype
"Kepler-1161 b",1.93000000,468.00,10.71252541000,
"Kepler-1301 b",1.35000000,734.00,9.08233411000,
"Kepler-585 b",2.54000000,1178.00,2.75235968900,
"Kepler-1987 e",1.58000000,608.00,8.74306000000,
"Kepler-901 b",1.21000000,645.00,3.51749439400,
"Kepler-263 c",2.18000000,386.00,47.33292990000,
"Kepler-1197 b",1.15000000,975.00,2.03231845000,
"Kepler-1312 b",1.80000000,923.00,5.44832528600,
"Kepler-1965 b",1.06000000,494.00,41.86736720000,
"Kepler-1152 b",1.07000000,879.00,1.64681900000,
"Kepler-368 c",1.42000000,376.00,72.38130100000,
"Kepler-1381 b",2.41000000,649.00,25.38426860000,
"Kepler-369 b",1.60000000,737.00,2.73278600000,
"Kepler-357 d",2.20000000,383.00,49.50081000000,
"Kepler-1229 b",1.66000000,228.00,86.82990000000,
"Kepler-463 b",4.95000000,1060.00,8.98101683300,
"Kepler-149 d",4.28000000,306.00,160.01915980000,
"Kepler-759 b",2.40000000,530.00,41.81287000000,
"Kepler-415 c",2.62000000,593.00,8.70797904000,
"Kepler-634 b",2.06000000,1309.00,5.16949729000,
"Kepler-149 c",2.66000000,567.00,55.32850000000,
"Kepler-944 b",2.42000000,459.00,43.31674270000,
"Kepler-1316 b",3.39000000,446.00,87.97242270000,
"Kepler-1747 b",3.70000000,875.00,6.23033500000,
"Kepler-1050 b",1.51000000,786.00,15.37875460000,
"Kepler-1669 c",1.81000000,897.00,1.60932168000,
"KOI-3503 c",0.80000000,589.00,31.82453040000,
"Kepler-1455 b",1.93000000,298.00,49.27668000000,
"Kepler-1448 b",1.73000000,811.00,12.27065865000,
"Kepler-186 c",1.14000000,464.00,7.26731094000,
"Kepler-80 e",1.60000000,628.00,4.64535284000,"M0 V"
"Kepler-935 b",1.55000000,879.00,4.88084456000,
"Kepler-431 c",0.92000000,1231.00,8.70337044000,
"Kepler-1356 b",1.45000000,1718.00,0.63400293700,
"Kepler-326 b",1.25000000,1127.00,2.24828821300,
"NGTS-34 b",3.65000000,624.00,43.12655000000,"F8 V"
"Kepler-213 b",1.33000000,1326.00,2.46234425300,
"Kepler-778 b",1.58000000,977.00,3.75574267000,
"Kepler-1559 b",0.70000000,1581.00,0.97191542800,
"Kepler-341 d",2.04000000,622.00,27.66663750000,
"Kepler-249 d",1.21000000,336.00,15.36843606000,
"Kepler-107 d",1.07000000,1075.00,7.95830216000,
"Kepler-31 c",4.99000000,615.00,42.63416177000,
"Kepler-681 b",3.16000000,491.00,26.39435646000,
"Kepler-357 c",2.51000000,576.00,16.85825609000,
"HATS-48 A b",9.49951912,890.56,3.13167354484,
"XO-1 b",13.51805400,1196.00,3.94153400000,
"XO-2 N b",11.01844700,1319.00,2.61585700000,
"WASP-1 b",16.97042600,1811.00,2.51996100000,
"Kepler-267 b",2.00000000,689.00,3.35370700000,
"TrES-2 b",13.71981600,1498.00,2.47063000000,
"HAT-P-2 b",11.24262700,1398.00,5.63332000000,
"GJ 436 b",4.22240000,649.00,2.64385000000,
"HAT-P-1 b",13.92157800,1306.00,4.46543000000,
"TrES-1 b",11.96000000,1140.00,3.03006500000,
"TrES-3 b",14.70620800,1623.00,1.30619000000,
"TrES-4 b",19.62695900,1785.00,3.55394500000,
"HAT-P-3 b",10.07689100,1127.00,2.89970300000,
"HAT-P-4 b",14.28000000,1686.00,3.05653600000,
"HAT-P-5 b",14.05608600,1539.00,2.78849100000,
"HAT-P-6 b",14.90797000,1675.00,3.85298500000,
"HD 149026 b",7.33068600,1634.00,2.87598000000,
"HD 189733 b",12.75600000,1201.00,2.21857300000,
"HD 209458 b",15.23300000,1449.00,3.52474600000,
"WASP-2 b",12.00500000,1304.00,2.15222600000,
"WASP-2 b",12.52000000,1300.00,2.15226000000,
"HAT-P-30 b",15.02000000,1630.00,2.81059500000,
"HAT-P-13 b",14.35900000,1653.00,2.91626000000,"G4"
"HAT-P-32 b",20.05300000,1786.00,2.15000800000,
"HAT-P-33 b",18.89800000,1782.00,3.47447400000,
"KOI-13 b",20.50000000,3257.00,1.76358920000,
"Kepler-17 b",14.68000000,1570.00,1.48571080000,
"Qatar-2 b",12.82300000,1292.00,1.33711820000,
"HAT-P-34 b",13.41700000,1520.00,5.45265400000,
"KOI-13 b",22.77000000,3320.00,1.76358770000,
"WASP-78 b",19.05500000,2350.00,2.17517632000,
"WASP-79 b",23.43000000,1900.00,3.66238660000,
"HAT-P-38 b",9.24700000,1082.00,4.64038200000,
"WASP-7 b",14.90797000,1487.00,4.95464160000,
"HAT-P-40 b",19.39200000,1770.00,4.45724300000,
"HAT-P-41 b",18.88700000,1941.00,2.69404700000,
"WASP-19 b",15.53600000,2050.00,0.78884000000,
"Kepler-1165 c",2.00000000,647.00,29.96860520000,
"Kepler-452 b",1.13000000,220.00,384.84302200000,
"Kepler-278 b",4.23000000,829.00,30.15986300000,
